Unnamed: 0,Unnamed: 0.1,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
7,7,mois,month
8,8,frère,brother
9,9,laisser,let
10,10,car,because
11,11,mettre,to put
12,12,aucun,no
14,14,eux,them
15,15,ville,city
16,16,parlé,speak
17,18,devrait,should
18,19,bébé,baby
19,20,heures,hours
20,21,vont,will
21,23,aucune,any
22,24,place,square
23,26,savais,knew
24,27,étaient,were
25,28,attention,Warning
26,29,pourrais,could
27,30,affaire,case
29,34,train,train
30,35,corps,body
32,37,yeux,eyes
33,38,façon,way
34,39,écoute,listen
35,40,dont,whose
36,41,trouve,find
37,42,premier,first
38,43,côté,side
39,44,pouvoir,power
40,45,vieux,old
41,46,sois,be
42,47,tiens,here
43,48,matin,morning
44,49,tellement,so much
46,51,suite,after
47,52,pardon,sorry
48,53,venez,come
49,54,devant,in front of
50,55,vers,towards
51,56,minutes,minutes
52,57,demandé,request
53,59,mis,placed
56,63,aujourd'hui,today
57,64,mari,husband
58,65,cause,cause
59,66,espère,hope
60,68,attendez,Wait
61,69,parti,left
62,70,nouvelle,new
63,72,arrêter,Stop
64,73,dirait,would say
65,74,terre,Earth
66,75,compte,account
68,77,loin,far
69,78,croire,believe
70,79,gros,large
71,80,plutôt,rather
72,81,aura,will have
74,83,jouer,to play
